,CATAID,WHAN classification,BPT classification
7211,100443,SF,unclassified
7212,100444,sAGN,composite
7213,100446,SF,SF
7214,100447,wAGN,unclassified
7215,100448,SF,unclassified
7216,100451,SF,SF
7217,100452,sAGN,composite
7218,100453,SF,SF
7219,100454,SF,SF
7220,100455,sAGN,unclassified
7221,100456,SF,SF
7222,100457,sAGN,composite
7223,100458,SF,SF
7224,100459,SF,unclassified
7225,100460,SF,SF
7226,100461,SF,unclassified
7227,100462,SF,SF
7228,100466,unclassified,unclassified
7229,100467,SF,SF
7230,100468,retired,unclassified
7231,100469,retired,unclassified
7232,105170,SF,SF
7233,105171,SF,unclassified
7234,105172,sAGN,unclassified
7235,105173,unclassified,unclassified
7236,105174,SF,SF
7237,105176,retired,LINERs
7238,105177,wAGN,composite
7239,105178,unclassified,unclassified
7240,105179,sAGN,composite
7241,105182,SF,SF
7242,105183,wAGN,unclassified
7243,105184,wAGN,LINERs
7244,105185,SF,SF
7245,105186,retired,LINERs
7246,105187,SF,SF
7247,105188,SF,composite
7248,105189,SF,unclassified
7249,105190,retired,SF
7250,105191,unclassified,unclassified
7251,105192,retired,SF
7252,105193,SF,SF
7253,105194,SF,SF
7254,105195,sAGN,composite
7255,105196,wAGN,composite
7256,105197,unclassified,unclassified
7257,105198,retired,LINERs
7258,105199,wAGN,composite
7259,105200,wAGN,unclassified
7260,105201,unclassified,unclassified
7261,105202,sAGN,seyfert
7262,105203,SF,SF
7263,105204,SF,SF
7264,105205,SF,SF
7265,105206,SF,SF
7266,105207,wAGN,LINERs
7267,105208,retired,SF
7268,105209,unclassified,unclassified
7269,105210,retired,SF
7270,105211,SF,unclassified
7271,105212,retired,unclassified
7272,105213,sAGN,composite
7273,105214,SF,SF
7274,105215,SF,SF
7275,105216,SF,SF
7276,105217,retired,unclassified
7277,105218,retired,unclassified
7278,105219,SF,SF
7279,105220,unclassified,unclassified
7280,105221,sAGN,composite
7281,105222,retired,unclassified
7282,105223,passive,unclassified
7283,105224,sAGN,composite
7284,105225,SF,SF
7285,105226,unclassified,unclassified
7286,105227,SF,unclassified
7287,105228,unclassified,unclassified
7288,105229,SF,SF
7289,105230,sAGN,composite
7290,105231,SF,SF
7291,105232,SF,SF
7292,105233,SF,SF
7293,105234,SF,SF
7294,105235,retired,LINERs
7295,105236,SF,SF
7296,105237,unclassified,unclassified
7297,105238,wAGN,composite
7298,105239,SF,SF
7299,105240,sAGN,composite
7300,105241,sAGN,composite
7301,105242,SF,unclassified
7302,105243,retired,unclassified
7303,105244,retired,composite
7304,105245,unclassified,unclassified
7305,105246,retired,unclassified
7306,105247,SF,SF
7307,105248,SF,SF
7308,105249,wAGN,composite
7309,105250,SF,SF
7310,105251,sAGN,composite
7311,105252,SF,unclassified
7312,105253,unclassified,unclassified
7313,105254,unclassified,unclassified
7314,105255,SF,SF
7315,105256,unclassified,unclassified
7316,105257,unclassified,unclassified
7317,105258,SF,SF
7318,105259,unclassified,unclassified
7319,105260,unclassified,unclassified
7320,105261,SF,composite
7321,105262,wAGN,composite
7322,105263,unclassified,unclassified
7323,105264,unclassified,unclassified
7324,105265,SF,SF
7325,105266,sAGN,composite
7326,105267,SF,SF
7327,105268,SF,unclassified
7328,105269,retired,composite
7329,105270,SF,unclassified
7330,105271,retired,LINERs
7331,105272,unclassified,composite
7332,105273,SF,SF
7333,105274,SF,composite
7334,105275,SF,SF
7335,105276,SF,SF
7336,105277,retired,LINERs
7337,105278,retired,LINERs
7338,105279,SF,composite
7339,105280,sAGN,composite
7340,105281,SF,SF
7341,105282,retired,unclassified
7342,105283,SF,SF
7343,105284,sAGN,SF
7344,105285,sAGN,composite
7345,105286,SF,SF
7346,105287,SF,SF
7347,105288,retired,unclassified
7348,105289,retired,unclassified
7349,105290,unclassified,unclassified
7350,105291,SF,SF
7351,105292,retired,unclassified
7352,105293,unclassified,unclassified
7353,105294,SF,SF
7354,105295,SF,unclassified
7355,105296,unclassified,unclassified
7356,105297,sAGN,composite
7357,105298,SF,composite
7358,105299,SF,SF
7359,105300,SF,SF
7360,105301,sAGN,composite
7361,105302,unclassified,unclassified
7362,105303,unclassified,unclassified
7363,105304,SF,SF
7364,105305,SF,SF
7365,105306,SF,SF
7366,105307,SF,SF
7367,105308,SF,SF
7368,105309,SF,SF
7369,105310,SF,seyfert
7370,105311,SF,SF
7371,105312,unclassified,unclassified
7372,105313,SF,composite
7373,105314,wAGN,SF
7374,105315,wAGN,unclassified
7375,105316,SF,unclassified
7376,105317,unclassified,unclassified
7377,105318,unclassified,unclassified
7378,105319,SF,SF
7379,105320,wAGN,unclassified
7380,105321,retired,LINERs
7381,105322,SF,SF
7382,105323,wAGN,unclassified
7383,105324,unclassified,unclassified
7384,105325,SF,SF
7385,105326,SF,unclassified
7386,105327,SF,unclassified
7387,105328,retired,SF
7388,105329,retired,composite
7389,105330,retired,LINERs
7390,105331,sAGN,unclassified
7391,105332,unclassified,unclassified
7392,105333,SF,composite
7393,105334,sAGN,unclassified
7394,105335,SF,SF
7395,105336,sAGN,composite
7396,105337,unclassified,unclassified
7397,105338,SF,unclassified
7398,105339,SF,SF
7399,105340,passive,composite
7400,105341,unclassified,unclassified
7401,105342,SF,composite
7402,105343,SF,SF
7403,105344,SF,SF
7404,105345,sAGN,composite
7405,105346,retired,SF
